"V1","V2","word"
1.68177671549984e-17,0,"melt"
-8.84540144727956e-18,0,"dough"
-1.12589063946751e-17,0,"roll"
2.3779823965684e-17,0,"butter"
-2.06281701975778e-17,0.0103891690903675,"pasta"
-7.31148559142174e-18,0,"cheese"
1.56898787307127e-17,0.00996564286567268,"bread"
-2.16873971482047e-17,0.00734507515816605,"mushroom"
5.9135282869114e-17,0.0110432675802651,"spread"
-3.02830052631337e-17,0.0372153792192989,"mediumhigh"
-4.37945073277235e-17,0.00512792998809201,"potato"
-4.54962329170754e-17,0.0195244409148519,"aside"
-5.11212284278579e-18,0.00453601953141152,"spoon"
-4.71962060795195e-17,0.0189869616759573,"piece"
9.48072118026209e-19,0.0378848684377568,"broccoli"
-4.87376493789113e-17,0.242461653030112,"drain"
8.36309769749548e-17,0.0438358521207696,"rabe"
-2.43782649114819e-17,0.00850274282810339,"lightly"
5.80710675265546e-17,0.0247364529936965,"side"
-1.22714109858093e-17,0.0118727595611019,"dish"
4.81274205124726e-17,0.0492630277164757,"reduce"
-8.62175753639358e-18,0.0136472306929504,"sauce"
1.49408096974982e-17,0.039541438855986,"golden"
5.17340088010229e-17,0.0227603703431116,"liquid"
-6.40106548957404e-17,-0.00245256363672793,"tomato"
-4.64891062308808e-17,0.0208462006973954,"set"
-4.18155578898687e-18,0.0403146532180473,"pot"
1.0620884054323e-16,0.0194456541642517,"reserve"
-6.64779804947913e-17,0.0271991454617819,"sheet"
-4.82012671104927e-17,0.0657947904205472,"simmer"
4.00130646605294e-17,0.00812632783952552,"plate"
-1.32451639203215e-16,0.0134049152032575,"sprout"
-6.17976302574047e-17,0.0881304264417694,"skillet"
-4.88965504406754e-17,0.0384780507266232,"brown"
8.73236030521622e-17,0.00472730022996622,"half"
6.22011011708578e-17,0.0147643966620473,"grill"
-2.05471954013936e-17,0.0183333865149392,"pour"
-4.8521087357961e-17,0.19490094949268,"water"
-4.95696759300552e-17,0.0220731873832353,"make"
6.88000946657104e-17,0.0111871538183096,"use"
-5.03377907671298e-19,0.000204652905866305,"arugula"
-1.94400050500905e-17,-0.00165221323000753,"tablespoon"
-8.43353067578281e-17,0.0135148048117345,"vegetable"
4.90406954893219e-17,-0.00657490147783637,"lemon"
1.0114942524968e-16,0.052526421075983,"bring"
-1.18495363612392e-17,0.0380018068105685,"pan"
2.315076059758e-17,0.105084520874652,"good"
-1.79639512874557e-17,-0.00513418103555726,"sprinkle"
1.00683559352869e-16,0.0356110221116827,"inch"
-2.72388759596004e-17,-0.00804027365551636,"mix"
-1.09678914386015e-17,0.0349270724746292,"remove"
-9.47851424025222e-17,0.0307277233982424,"transfer"
-9.87720051133375e-18,0.00323674121835466,"top"
5.05579814259322e-19,0.000649996294278372,"mixture"
2.7938647494385e-17,0.0283144250530149,"garlic"
-4.85724644761861e-17,-0.0104163324274981,"teaspoon"
-2.50983963268956e-17,0.0508265131263572,"let"
4.8682981002297e-17,0.154752283364212,"cool"
-4.01745851182631e-17,0.0070046708925942,"onion"
-1.94129708747297e-17,0.0126571623115146,"cup"
4.32313687341777e-18,-0.00260167447682561,"remain"
-4.25620014157806e-18,0.0261063792884433,"medium"
-3.43918398942573e-17,0.0104861735765293,"coat"
-4.11142663672426e-17,0.00959140827641874,"slice"
-4.09709897890543e-17,0.0150126955454247,"place"
-2.37096833824961e-17,-0.00699375247763806,"small"
4.47635906581026e-17,0.0829003145134399,"tender"
-2.01844064618229e-18,0.0629771555814243,"boil"
-3.60403081780639e-17,0.0251967726621424,"bake"
-3.7025019685682e-17,-0.0125378679977591,"olive"
2.76456761728577e-18,-0.0123092632220478,"juice"
2.74395720205474e-18,-0.00346932976735355,"preheat"
-2.80578269778677e-17,0.00434198290995839,"oven"
4.48011799598111e-19,0.0888797046056521,"large"
4.42345885369538e-17,-0.0126216615042955,"combine"
9.2861606843426e-18,0.0900297728101628,"cut"
3.95625681029041e-17,-0.0168548809507506,"season"
5.5247338839559e-17,-0.0118174922950285,"whisk"
-4.11848970752589e-17,0.0570008596984531,"cover"
-3.25591922468854e-17,0.043758015449965,"bowl"
-2.32579603854627e-17,0.0897436321599161,"cook"
9.87236907066293e-17,0.0234799523522902,"toss"
4.42670234277839e-17,0.0162660322098491,"stir"
-4.06139729233971e-17,-0.04440989508417,"pepper"
8.10521194391433e-17,0.0657109565106882,"add"
-2.51193224879866e-17,0.0689932599675016,"heat"
8.27409248387265e-17,0.0287039682339366,"oil"
-8.17672447734874e-17,-0.0431368371886167,"salt"
-4.7207274079502e-18,0.0248718678243589,"beet"
